Name,Value,DOB,Season,Competition,Club ID#,PPG,Goals,Assists,Minutes,Age,Yellow Cards,Double Yellow,Red Card
Neymar,199.80,"Feb 5, 1992",2011,Club World Cup,2.0,1.5,1,-,180',19,- , - , -
Neymar,199.80,"Feb 5, 1992",2013,Champions League,10.0,2.0,4,5,775',21,1 , - , -
Neymar,199.80,"Feb 5, 1992",2013,Copa del Rey,3.0,2.0,1,-,206',21,1 , - , -
Neymar,199.80,"Feb 5, 1992",2013,LaLiga,26.0,2.31,9,10,1.736',21,6 , - , -
Neymar,199.80,"Feb 5, 1992",2013,Supercopa,2.0,1.0,1,-,121',21,1 , - , -
Neymar,199.80,"Feb 5, 1992",2014,Champions League,12.0,2.5,10,-,1.025',22,1 , - , -
Neymar,199.80,"Feb 5, 1992",2014,Copa del Rey,6.0,3.0,7,1,503',22,1 , - , -
Neymar,199.80,"Feb 5, 1992",2014,LaLiga,33.0,2.45,22,9,2.570',22,6 , - , -
Neymar,199.80,"Feb 5, 1992",2015,Champions League,9.0,2.44,3,5,810',23,2 , - , -
Neymar,199.80,"Feb 5, 1992",2015,Club World Cup,1.0,3.0,-,2,88',23,1 , - , -
Neymar,199.80,"Feb 5, 1992",2015,Copa del Rey,5.0,3.0,4,2,480',23,2 , - , -
Neymar,199.80,"Feb 5, 1992",2015,LaLiga,34.0,2.38,24,16,3.056',23,6 , - , -
Neymar,199.80,"Feb 5, 1992",2011,Libertadores,13.0,1.85,6,3,1.133',19,5 , 1 , -
Neymar,199.80,"Feb 5, 1992",2011,Série A,21.0,1.52,13,5,1.882',19,8 , 1 , -
Neymar,199.80,"Feb 5, 1992",2012,Libertadores,12.0,1.67,8,3,1.110',20,6 , - , -
Neymar,199.80,"Feb 5, 1992",2012,Recopa Sudamericana,2.0,2.0,1,-,180',20,- , - , -
Neymar,199.80,"Feb 5, 1992",2012,Série A,17.0,1.88,14,7,1.493',20,6 , - , 1
Neymar,199.80,"Feb 5, 1992",2013,Série A,1.0,1.0,-,-,90',21,- , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2017,Champions League,8.0,1.88,4,3,658',19,1 , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2017,Coupe de France,5.0,3.0,4,3,399',19,- , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2017,Coupe de la Ligue,4.0,3.0,-,2,255',19,- , - , 1
Kylian Mbappé,130.50,"Dec 20, 1998",2017,Ligue 1,1.0,3.0,-,-,75',19,- , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2017,Ligue 1,27.0,2.3,13,7,2.096',19,2 , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2017,Trophée des Champions,1.0,0.0,-,-,71',19,- , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2018,Champions League,8.0,1.75,4,5,701',20,1 , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2018,Coupe de France,4.0,2.25,2,3,356',20,- , - , 1
Kylian Mbappé,130.50,"Dec 20, 1998",2018,Coupe de la Ligue,2.0,1.5,-,-,121',20,- , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2018,Ligue 1,29.0,2.48,33,9,2.326',20,6 , - , 1
Kylian Mbappé,130.50,"Dec 20, 1998",2019,Champions League,10.0,2.2,5,6,652',21,1 , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2019,Coupe de France,3.0,3.0,4,3,213',21,1 , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2019,Coupe de la Ligue,3.0,3.0,2,3,248',21,1 , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2019,Ligue 1,20.0,2.6,18,7,1.515',21,- , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2019,Trophée des Champions,1.0,3.0,1,-,90',21,1 , - , -
Kylian Mbappé,130.50,"Dec 20, 1998",2020,Ligue 1,3.0,3.0,2,4,259',22,- , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2016,Bundesliga,32.0,1.81,6,13,2.040',19,7 , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2016,Champions League,10.0,1.7,2,6,769',19,1 , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2016,DFB-Pokal,6.0,3.0,2,2,510',19,2 , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2016,DFL-Supercup,1.0,0.0,-,-,68',19,1 , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2017,Champions League,3.0,2.0,1,-,143',20,- , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2017,Copa del Rey,3.0,2.33,-,1,57',20,- , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2017,DFL-Supercup,1.0,0.0,-,1,120',20,- , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2017,LaLiga,17.0,2.35,3,7,930',20,2 , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2018,Champions League,8.0,2.25,3,1,416',21,- , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2018,Copa del Rey,4.0,2.25,2,3,332',21,- , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2018,LaLiga,29.0,2.38,8,4,1.669',21,1 , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2018,Supercopa,1.0,3.0,1,-,86',21,- , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2019,Champions League,4.0,2.5,-,-,136',22,1 , - , -
Ousmane Dembélé,124.20,"May 15, 1997",2019,LaLiga,5.0,2.4,1,-,356',22,1 , - , 1
Ousmane Dembélé,124.20,"May 15, 1997",2020,LaLiga,1.0,3.0,-,-,20',23,- , - , -
João Félix,113.40,"Nov 10, 1999",2018,Allianz Cup,2.0,1.5,1,-,180',19,- , - , -
João Félix,113.40,"Nov 10, 1999",2018,Champions League,1.0,3.0,-,-,77',19,- , - , -
João Félix,113.40,"Nov 10, 1999",2018,Champions League Qualifying,2.0,2.0,-,-,15',19,- , - , -
João Félix,113.40,"Nov 10, 1999",2018,Europa League,6.0,1.67,3,1,494',19,2 , - , -
João Félix,113.40,"Nov 10, 1999",2018,Liga NOS,26.0,2.62,15,9,1.735',19,2 , - , -
João Félix,113.40,"Nov 10, 1999",2018,Taça de Portugal Placard,6.0,2.5,1,1,365',19,2 , - , -
João Félix,113.40,"Nov 10, 1999",2019,Champions League,6.0,1.67,3,1,426',20,- , - , -
João Félix,113.40,"Nov 10, 1999",2019,Copa del Rey,1.0,0.0,-,1,120',20,- , - , -
João Félix,113.40,"Nov 10, 1999",2019,LaLiga,27.0,1.85,6,1,1.746',20,6 , - , -
João Félix,113.40,"Nov 10, 1999",2019,Supercopa,2.0,1.5,-,-,191',20,- , - , -
João Félix,113.40,"Nov 10, 1999",2020,LaLiga,3.0,1.67,1,1,237',21,1 , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2010,Copa del Rey,2.0,0.0,-,1,180',19,- , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2010,LaLiga,37.0,1.22,7,3,2.848',19,7 , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2011,Copa del Rey,3.0,2.0,1,-,167',20,- , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2011,LaLiga,35.0,1.23,7,4,2.628',20,5 , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2012,Copa del Rey,1.0,1.0,1,-,77',21,- , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2012,LaLiga,34.0,1.68,10,5,2.846',21,8 , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2013,Champions League,6.0,0.17,-,-,491',22,- , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2013,Champions League Qualifying,2.0,3.0,1,1,142',22,- , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2013,Copa del Rey,7.0,1.71,3,-,385',22,- , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2013,LaLiga,35.0,1.49,16,4,2.660',22,5 , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2014,Champions League,9.0,1.78,2,-,537',23,1 , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2014,Copa del Rey,5.0,1.4,1,2,302',23,2 , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2014,LaLiga,37.0,2.08,22,3,2.474',23,6 , - , -
Antoine Griezmann,108.00,"Mar 21, 1991",2014,Supercopa,2.0,2.0,-,1,107',23,1 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2004,Champions League,7,1.14,-,2,502',19,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2004,Champions League Qualifying,1,3.00,-,-,64',19,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2004,FA Cup,7,2.29,4,3,545',19,1 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2004,League Cup,2,0.50,-,-,180',19,1 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2004,Premier League,33,1.97,5,5,2.425',19,3 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2005,Champions League,6,1.00,-,-,506',20,1 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2005,Champions League Qualifying,2,3.00,1,1,157',20,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2005,FA Cup,2,0.50,-,-,121',20,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2005,League Cup,4,2.50,2,1,343',20,1 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2005,Premier League,33,2.12,9,7,2.286',20,8 , - , 1
Cristiano Ronaldo,105.30,"Feb 5, 1985",2006,Champions League,11,1.91,3,5,951',21,3 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2006,FA Cup,7,2.00,3,1,558',21,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2006,League Cup,1,000,-,-,90',21,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2006,Premier League,34,2.32,17,15,2.787',21,2 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2007,Champions League,11,2.64,8,1,1.017',22,2 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2007,Community Shield,1,3.00,-,-,120',22,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2007,FA Cup,3,2.00,3,-,270',22,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2007,Premier League,34,2.38,31,7,2.747',22,5 , - , 1
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,Champions League,12,1.92,4,3,1.010',23,2 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,Club World Cup,2,3.00,1,1,180',23,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,FA Cup,2,3.00,1,1,144',23,- , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,League Cup,4,2.25,2,-,240',23,1 , - , -
Cristiano Ronaldo,105.30,"Feb 5, 1985",2008,Premier League,33,2.42,18,7,2.745',23,5 , 1 , -
Eden Hazard,103.50,"Jan 7, 1991",2010,Coupe de France,5.0,3.0,3,-,406',19,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2010,Coupe de la Ligue,2.0,1.5,2,1,134',19,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2010,Europa League,7.0,1.14,-,1,384',19,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2010,Europa League Qualifying,2.0,2.0,-,1,103',19,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2010,Ligue 1,38.0,2.0,7,11,3.083',19,2 , - , -
Eden Hazard,103.50,"Jan 7, 1991",2011,Champions League,6.0,1.0,-,2,540',20,1 , - , -
Eden Hazard,103.50,"Jan 7, 1991",2011,Coupe de France,3.0,2.0,1,-,270',20,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2011,Coupe de la Ligue,1.0,0.0,-,1,90',20,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2011,Ligue 1,38.0,1.95,20,18,3.212',20,2 , - , -
Eden Hazard,103.50,"Jan 7, 1991",2011,Trophée des Champions,1.0,0.0,1,1,81',20,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2012,Champions League,6.0,1.67,-,3,457',21,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2012,Club World Cup,2.0,1.5,-,1,177',21,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2012,Community Shield,1.0,0.0,-,-,71',21,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2012,Europa League,7.0,2.29,1,2,448',21,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2012,FA Cup,6.0,2.17,1,2,365',21,1 , - , -
Eden Hazard,103.50,"Jan 7, 1991",2012,League Cup,5.0,2.0,2,2,277',21,- , - , 1
Eden Hazard,103.50,"Jan 7, 1991",2012,Premier League,34.0,2.0,9,14,2.638',21,2 , - , -
Eden Hazard,103.50,"Jan 7, 1991",2012,UEFA Super Cup,1.0,0.0,-,-,90',21,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2013,Champions League,9.0,1.44,2,-,681',22,- , - , -
Eden Hazard,103.50,"Jan 7, 1991",2013,FA Cup,3.0,2.0,-,1,215',22,- , - , -
