Players,values,links
Neymar,£199.80m,https://www.transfermarkt.com/neymar/profil/spieler/68290
Kylian Mbappé,£130.50m,https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229
Ousmane Dembélé,£117.00m,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230
João Félix,£114.48m,https://www.transfermarkt.com/joao-felix/profil/spieler/462250
Antoine Griezmann,£108.00m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
Cristiano Ronaldo,£105.30m,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198
Eden Hazard,£103.50m,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202
Gareth Bale,£90.90m,https://www.transfermarkt.com/gareth-bale/profil/spieler/39381
Cristiano Ronaldo,£84.60m,https://www.transfermarkt.com/cristiano-ronaldo/profil/spieler/8198
Gonzalo Higuaín,£81.00m,https://www.transfermarkt.com/gonzalo-higuain/profil/spieler/39153
Neymar,£79.38m,https://www.transfermarkt.com/neymar/profil/spieler/68290
Romelu Lukaku,£76.23m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
Luis Suárez,£73.55m,https://www.transfermarkt.com/luis-suarez/profil/spieler/44352
Nicolas Pépé,£72.00m,https://www.transfermarkt.com/nicolas-pepe/profil/spieler/343052
Ángel Di María,£67.50m,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
Romelu Lukaku,£66.60m,https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341
Thomas Lemar,£64.80m,https://www.transfermarkt.com/thomas-lemar/profil/spieler/205562
Victor Osimhen,£63.00m,https://www.transfermarkt.com/victor-osimhen/profil/spieler/401923
Zlatan Ibrahimovic,£62.55m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
Riyad Mahrez,£61.02m,https://www.transfermarkt.com/riyad-mahrez/profil/spieler/171424
Álvaro Morata,£59.40m,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223
Edinson Cavani,£58.05m,https://www.transfermarkt.com/edinson-cavani/profil/spieler/48280
Christian Pulisic,£57.60m,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
Pierre-Emerick Aubameyang,£57.38m,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864
Raheem Sterling,£57.33m,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425
Luka Jovic,£56.70m,https://www.transfermarkt.com/luka-jovic/profil/spieler/257462
Ángel Di María,£56.70m,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
Diego Costa,£54.00m,https://www.transfermarkt.com/diego-costa/profil/spieler/44779
Anthony Martial,£54.00m,https://www.transfermarkt.com/anthony-martial/profil/spieler/182877
Luís Figo,£54.00m,https://www.transfermarkt.com/luis-figo/profil/spieler/3446
Fernando Torres,£52.65m,https://www.transfermarkt.com/fernando-torres/profil/spieler/7767
Hernán Crespo,£51.13m,https://www.transfermarkt.com/hernan-crespo/profil/spieler/3410
Hulk,£50.22m,https://www.transfermarkt.com/hulk/profil/spieler/80562
Antoine Griezmann,£48.60m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
Timo Werner,£47.70m,https://www.transfermarkt.com/timo-werner/profil/spieler/170527
Alexandre Lacazette,£47.70m,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720
Leroy Sané,£46.80m,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565
Mauro Icardi,£45.00m,https://www.transfermarkt.com/mauro-icardi/profil/spieler/68863
Sébastien Haller,£45.00m,https://www.transfermarkt.com/sebastien-haller/profil/spieler/181375
Bernardo Silva,£45.00m,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641
Alex Teixeira,£45.00m,https://www.transfermarkt.com/alex-teixeira/profil/spieler/66515
Christian Benteke,£41.85m,https://www.transfermarkt.com/christian-benteke/profil/spieler/50201
Christian Vieri,£41.83m,https://www.transfermarkt.com/christian-vieri/profil/spieler/5797
Leroy Sané,£40.50m,https://www.transfermarkt.com/leroy-sane/profil/spieler/192565
Rodrygo,£40.50m,https://www.transfermarkt.com/rodrygo/profil/spieler/412363
Vinícius Júnior,£40.50m,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998
Ronaldo,£40.50m,https://www.transfermarkt.com/ronaldo/profil/spieler/3140
Diogo Jota,£40.23m,https://www.transfermarkt.com/diogo-jota/profil/spieler/340950
Joelinton,£39.60m,https://www.transfermarkt.com/joelinton/profil/spieler/333241
Andriy Shevchenko,£39.49m,https://www.transfermarkt.com/andriy-shevchenko/profil/spieler/3522
Falcao,£38.70m,https://www.transfermarkt.com/falcao/profil/spieler/39152
Robinho,£38.70m,https://www.transfermarkt.com/robinho/profil/spieler/15511
Alexis Sánchez,£38.25m,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
Patrik Schick,£37.80m,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086
